product_id	shop_id	price_strength_level	product_strength_score	coupon_after_price	is_warn	warn_type	data_dt	dt
prod_1371	shop_003	优秀	83	78.86	否		2025-01-01	2025-01-01
prod_1033	shop_002	优秀	85	611.75	否		2025-01-01	2025-01-01
prod_1262	shop_003	优秀	63	462.36	否		2025-01-01	2025-01-01
prod_1020	shop_003	优秀	81	79.86	否		2025-01-01	2025-01-01
prod_1351	shop_002	较差	76	393.88	是	低价格力	2025-01-01	2025-01-01
prod_1232	shop_003	良好	73	568.29	否		2025-01-01	2025-01-01
prod_1253	shop_001	优秀	91	615.69	否		2025-01-01	2025-01-01
prod_1318	shop_001	良好	52	30.53	否		2025-01-01	2025-01-01
prod_1242	shop_003	优秀	67	71.52	否		2025-01-01	2025-01-01
prod_1226	shop_002	优秀	50	742.54	否		2025-01-01	2025-01-01
prod_1159	shop_003	较差	79	443.17	是	低价格力	2025-01-01	2025-01-01
prod_1393	shop_002	优秀	99	586.2	否		2025-01-01	2025-01-01
prod_1088	shop_002	良好	100	540.75	否		2025-01-01	2025-01-01
prod_1085	shop_002	良好	69	444.72	否		2025-01-01	2025-01-01
prod_1209	shop_003	较差	62	761.09	是	低价格力	2025-01-01	2025-01-01
prod_1137	shop_001	优秀	86	74.0	否		2025-01-01	2025-01-01
prod_1493	shop_001	较差	68	335.74	是	低价格力	2025-01-01	2025-01-01
prod_1022	shop_003	优秀	91	554.46	否		2025-01-01	2025-01-01
prod_1100	shop_002	较差	54	317.8	是	低价格力	2025-01-01	2025-01-01
prod_1219	shop_001	优秀	99	648.54	否		2025-01-01	2025-01-01
prod_1008	shop_003	优秀	86	71.49	否		2025-01-01	2025-01-01
prod_1409	shop_002	较差	80	68.23	是	低价格力	2025-01-01	2025-01-01
prod_1275	shop_003	较差	90	774.35	是	低价格力	2025-01-01	2025-01-01
prod_1155	shop_001	较差	57	369.42	是	低价格力	2025-01-01	2025-01-01
prod_1186	shop_001	较差	67	25.52	是	低价格力	2025-01-01	2025-01-01
prod_1050	shop_001	较差	77	371.38	是	低价格力	2025-01-01	2025-01-01
prod_1288	shop_002	优秀	67	684.82	否		2025-01-01	2025-01-01
prod_1077	shop_003	良好	52	563.42	否		2025-01-01	2025-01-01
prod_1021	shop_003	较差	80	530.02	是	低价格力	2025-01-01	2025-01-01
prod_1163	shop_003	优秀	58	734.93	否		2025-01-01	2025-01-01
prod_1245	shop_002	较差	68	499.38	是	低价格力	2025-01-01	2025-01-01
prod_1119	shop_001	优秀	61	104.05	否		2025-01-01	2025-01-01
prod_1341	shop_003	优秀	63	738.94	否		2025-01-01	2025-01-01
prod_1487	shop_001	优秀	50	758.64	否		2025-01-01	2025-01-01
prod_1179	shop_003	优秀	83	158.87	否		2025-01-01	2025-01-01
prod_1196	shop_001	良好	59	728.23	否		2025-01-01	2025-01-01
prod_1039	shop_001	良好	65	278.79	否		2025-01-01	2025-01-01
prod_1372	shop_001	优秀	88	214.34	否		2025-01-01	2025-01-01
prod_1353	shop_001	较差	84	295.58	是	低价格力	2025-01-01	2025-01-01
prod_1248	shop_001	较差	95	14.96	是	低价格力	2025-01-01	2025-01-01
prod_1113	shop_001	较差	51	500.73	是	低价格力	2025-01-01	2025-01-01
prod_1184	shop_003	优秀	60	612.33	否		2025-01-01	2025-01-01
prod_1203	shop_001	良好	92	516.25	否		2025-01-01	2025-01-01
prod_1058	shop_003	良好	68	329.12	否		2025-01-01	2025-01-01
prod_1399	shop_001	优秀	57	442.82	否		2025-01-01	2025-01-01
prod_1171	shop_002	较差	75	761.03	是	低价格力	2025-01-01	2025-01-01
prod_1216	shop_003	良好	65	495.22	否		2025-01-01	2025-01-01
prod_1228	shop_003	优秀	55	558.49	否		2025-01-01	2025-01-01
prod_1301	shop_001	优秀	99	355.94	否		2025-01-01	2025-01-01
prod_1118	shop_003	较差	57	703.87	是	低价格力	2025-01-01	2025-01-01
prod_1291	shop_001	良好	85	691.24	否		2025-01-01	2025-01-01
prod_1127	shop_003	较差	60	237.7	是	低价格力	2025-01-01	2025-01-01
prod_1295	shop_002	良好	53	579.2	否		2025-01-01	2025-01-01
prod_1491	shop_003	良好	100	323.12	否		2025-01-01	2025-01-01
prod_1440	shop_003	优秀	100	555.49	否		2025-01-01	2025-01-01
prod_1377	shop_003	良好	50	178.8	否		2025-01-01	2025-01-01
prod_1019	shop_002	较差	99	10.05	是	低价格力	2025-01-01	2025-01-01
prod_1097	shop_002	良好	56	780.42	否		2025-01-01	2025-01-01
prod_1479	shop_002	优秀	69	109.66	否		2025-01-01	2025-01-01
prod_1005	shop_002	优秀	97	427.93	否		2025-01-01	2025-01-01
prod_1271	shop_003	优秀	91	719.5	否		2025-01-02	2025-01-02
prod_1037	shop_001	良好	82	492.21	否		2025-01-02	2025-01-02
prod_1322	shop_003	良好	77	217.76	否		2025-01-02	2025-01-02
prod_1355	shop_003	良好	79	184.29	否		2025-01-02	2025-01-02
prod_1487	shop_002	较差	71	261.26	是	低价格力	2025-01-02	2025-01-02
