product_id	shop_id	search_word	visitor_count	data_dt	time_type	dt
prod_1291	shop_003	新款	1458	2025-01-01	day	2025-01-01
prod_1291	shop_002	限量	2761	2025-01-01	day	2025-01-01
prod_1291	shop_002	热销	218	2025-01-01	day	2025-01-01
prod_1371	shop_003	限量	1656	2025-01-01	day	2025-01-01
prod_1371	shop_002	网红款	2548	2025-01-01	day	2025-01-01
prod_1371	shop_001	热销	2526	2025-01-01	day	2025-01-01
prod_1414	shop_003	网红款	828	2025-01-01	day	2025-01-01
prod_1414	shop_001	性价比	1076	2025-01-01	day	2025-01-01
prod_1414	shop_003	正品	782	2025-01-01	day	2025-01-01
prod_1313	shop_002	轩妈家	1302	2025-01-01	day	2025-01-01
prod_1313	shop_002	优惠	2094	2025-01-01	day	2025-01-01
prod_1313	shop_001	网红款	1689	2025-01-01	day	2025-01-01
prod_1255	shop_003	网红款	2609	2025-01-01	day	2025-01-01
prod_1255	shop_002	正品	1163	2025-01-01	day	2025-01-01
prod_1255	shop_001	热销	1494	2025-01-01	day	2025-01-01
prod_1395	shop_002	新款	771	2025-01-01	day	2025-01-01
prod_1395	shop_002	轩妈家	164	2025-01-01	day	2025-01-01
prod_1395	shop_003	网红款	2167	2025-01-01	day	2025-01-01
prod_1499	shop_001	新款	2999	2025-01-01	day	2025-01-01
prod_1499	shop_001	轩妈家	449	2025-01-01	day	2025-01-01
prod_1499	shop_001	热销	1765	2025-01-01	day	2025-01-01
prod_1098	shop_002	性价比	605	2025-01-01	day	2025-01-01
prod_1098	shop_003	热销	1679	2025-01-01	day	2025-01-01
prod_1098	shop_001	优惠	1836	2025-01-01	day	2025-01-01
prod_1000	shop_002	优惠	1235	2025-01-01	day	2025-01-01
prod_1000	shop_001	性价比	299	2025-01-01	day	2025-01-01
prod_1000	shop_003	轩妈家	2035	2025-01-01	day	2025-01-01
prod_1460	shop_003	正品	68	2025-01-01	day	2025-01-01
prod_1460	shop_001	轩妈家	203	2025-01-01	day	2025-01-01
prod_1460	shop_003	网红款	1476	2025-01-01	day	2025-01-01
prod_1409	shop_002	限量	2046	2025-01-01	day	2025-01-01
prod_1409	shop_003	优惠	824	2025-01-01	day	2025-01-01
prod_1409	shop_001	网红款	1131	2025-01-01	day	2025-01-01
prod_1073	shop_003	网红款	2954	2025-01-01	day	2025-01-01
prod_1073	shop_001	性价比	2781	2025-01-01	day	2025-01-01
prod_1073	shop_001	新款	356	2025-01-01	day	2025-01-01
prod_1449	shop_003	限量	1079	2025-01-01	day	2025-01-01
prod_1449	shop_003	正品	2404	2025-01-01	day	2025-01-01
prod_1449	shop_001	性价比	2516	2025-01-01	day	2025-01-01
prod_1317	shop_001	轩妈家	2858	2025-01-01	day	2025-01-01
prod_1317	shop_003	正品	2653	2025-01-01	day	2025-01-01
prod_1317	shop_002	限量	2157	2025-01-01	day	2025-01-01
prod_1412	shop_002	轩妈家	1179	2025-01-01	day	2025-01-01
prod_1412	shop_003	优惠	1624	2025-01-01	day	2025-01-01
prod_1412	shop_001	正品	2899	2025-01-01	day	2025-01-01
prod_1462	shop_001	限量	2315	2025-01-01	day	2025-01-01
prod_1462	shop_001	新款	1099	2025-01-01	day	2025-01-01
prod_1462	shop_001	网红款	498	2025-01-01	day	2025-01-01
prod_1323	shop_002	新款	296	2025-01-01	day	2025-01-01
prod_1323	shop_002	正品	2633	2025-01-01	day	2025-01-01
prod_1323	shop_003	优惠	2383	2025-01-01	day	2025-01-01
prod_1094	shop_001	轩妈家	135	2025-01-01	day	2025-01-01
prod_1094	shop_001	性价比	2021	2025-01-01	day	2025-01-01
prod_1094	shop_002	网红款	1003	2025-01-01	day	2025-01-01
prod_1273	shop_003	优惠	1952	2025-01-01	day	2025-01-01
prod_1273	shop_003	轩妈家	2577	2025-01-01	day	2025-01-01
prod_1273	shop_002	限量	187	2025-01-01	day	2025-01-01
prod_1211	shop_001	新款	2562	2025-01-01	day	2025-01-01
prod_1211	shop_002	限量	119	2025-01-01	day	2025-01-01
prod_1211	shop_003	优惠	1326	2025-01-01	day	2025-01-01
prod_1091	shop_001	网红款	1300	2025-01-01	day	2025-01-01
prod_1091	shop_001	限量	564	2025-01-01	day	2025-01-01
prod_1091	shop_001	性价比	322	2025-01-01	day	2025-01-01
prod_1434	shop_001	正品	2653	2025-01-01	day	2025-01-01
prod_1434	shop_001	优惠	1969	2025-01-01	day	2025-01-01
prod_1434	shop_003	性价比	1800	2025-01-01	day	2025-01-01
prod_1050	shop_002	限量	2781	2025-01-01	day	2025-01-01
prod_1050	shop_003	热销	256	2025-01-01	day	2025-01-01
prod_1050	shop_001	轩妈家	201	2025-01-01	day	2025-01-01
prod_1148	shop_003	性价比	546	2025-01-01	day	2025-01-01
prod_1148	shop_003	限量	1465	2025-01-01	day	2025-01-01
prod_1148	shop_002	轩妈家	515	2025-01-01	day	2025-01-01
prod_1089	shop_002	正品	875	2025-01-01	day	2025-01-01
prod_1089	shop_003	新款	2791	2025-01-01	day	2025-01-01
prod_1089	shop_001	网红款	2364	2025-01-01	day	2025-01-01
prod_1108	shop_003	网红款	2347	2025-01-01	day	2025-01-01
prod_1108	shop_002	轩妈家	1881	2025-01-01	day	2025-01-01
prod_1108	shop_001	正品	1362	2025-01-01	day	2025-01-01
prod_1129	shop_002	轩妈家	643	2025-01-01	day	2025-01-01
prod_1129	shop_001	正品	105	2025-01-01	day	2025-01-01
prod_1129	shop_002	优惠	1231	2025-01-01	day	2025-01-01
prod_1364	shop_002	网红款	689	2025-01-01	day	2025-01-01
prod_1364	shop_002	轩妈家	402	2025-01-01	day	2025-01-01
prod_1364	shop_001	性价比	2000	2025-01-01	day	2025-01-01
prod_1359	shop_001	限量	2743	2025-01-01	day	2025-01-01
prod_1359	shop_001	性价比	1066	2025-01-01	day	2025-01-01
prod_1359	shop_002	轩妈家	2612	2025-01-01	day	2025-01-01
prod_1069	shop_003	热销	2912	2025-01-01	day	2025-01-01
prod_1069	shop_003	正品	1178	2025-01-01	day	2025-01-01
prod_1069	shop_003	网红款	2953	2025-01-01	day	2025-01-01
prod_1065	shop_001	正品	2332	2025-01-01	day	2025-01-01
prod_1065	shop_001	性价比	2151	2025-01-01	day	2025-01-01
prod_1065	shop_003	限量	2735	2025-01-01	day	2025-01-01
prod_1436	shop_003	热销	2918	2025-01-01	day	2025-01-01
prod_1436	shop_001	优惠	1543	2025-01-01	day	2025-01-01
prod_1436	shop_002	限量	1396	2025-01-01	day	2025-01-01
prod_1002	shop_001	限量	2742	2025-01-01	day	2025-01-01
prod_1002	shop_001	热销	838	2025-01-01	day	2025-01-01
prod_1002	shop_003	新款	2132	2025-01-01	day	2025-01-01
prod_1232	shop_001	轩妈家	2992	2025-01-01	day	2025-01-01
prod_1232	shop_002	性价比	2453	2025-01-01	day	2025-01-01
prod_1232	shop_003	限量	2345	2025-01-01	day	2025-01-01
prod_1183	shop_001	优惠	2004	2025-01-01	day	2025-01-01
prod_1183	shop_001	新款	1523	2025-01-01	day	2025-01-01
prod_1183	shop_003	性价比	2428	2025-01-01	day	2025-01-01
prod_1426	shop_002	新款	1910	2025-01-01	day	2025-01-01
prod_1426	shop_001	优惠	1089	2025-01-01	day	2025-01-01
prod_1426	shop_002	正品	1010	2025-01-01	day	2025-01-01
prod_1064	shop_001	热销	650	2025-01-01	day	2025-01-01
prod_1064	shop_002	限量	1218	2025-01-01	day	2025-01-01
prod_1064	shop_003	新款	2029	2025-01-01	day	2025-01-01
prod_1282	shop_002	正品	2791	2025-01-01	day	2025-01-01
prod_1282	shop_003	限量	2041	2025-01-01	day	2025-01-01
prod_1282	shop_003	优惠	761	2025-01-01	day	2025-01-01
prod_1229	shop_001	网红款	1704	2025-01-01	day	2025-01-01
prod_1229	shop_003	性价比	635	2025-01-01	day	2025-01-01
prod_1229	shop_001	正品	2235	2025-01-01	day	2025-01-01
prod_1147	shop_003	限量	1221	2025-01-01	day	2025-01-01
prod_1147	shop_001	网红款	263	2025-01-01	day	2025-01-01
prod_1147	shop_001	优惠	2967	2025-01-01	day	2025-01-01
prod_1272	shop_001	网红款	917	2025-01-01	week	2025-01-01
prod_1272	shop_003	轩妈家	1327	2025-01-01	week	2025-01-01
prod_1272	shop_001	新款	292	2025-01-01	week	2025-01-01
prod_1099	shop_003	轩妈家	1145	2025-01-01	week	2025-01-01
prod_1099	shop_002	优惠	1247	2025-01-01	week	2025-01-01
prod_1099	shop_001	新款	105	2025-01-01	week	2025-01-01
prod_1401	shop_002	网红款	278	2025-01-01	week	2025-01-01
prod_1401	shop_003	优惠	1287	2025-01-01	week	2025-01-01
prod_1401	shop_002	轩妈家	914	2025-01-01	week	2025-01-01
prod_1131	shop_003	限量	2931	2025-01-01	week	2025-01-01
prod_1131	shop_001	正品	367	2025-01-01	week	2025-01-01
prod_1131	shop_001	网红款	1523	2025-01-01	week	2025-01-01
prod_1221	shop_002	轩妈家	1068	2025-01-01	week	2025-01-01
prod_1221	shop_002	热销	832	2025-01-01	week	2025-01-01
prod_1221	shop_001	限量	1961	2025-01-01	week	2025-01-01
prod_1287	shop_003	正品	769	2025-01-01	week	2025-01-01
prod_1287	shop_002	轩妈家	1280	2025-01-01	week	2025-01-01
prod_1287	shop_002	网红款	1891	2025-01-01	week	2025-01-01
prod_1419	shop_001	性价比	1556	2025-01-01	week	2025-01-01
prod_1419	shop_001	新款	2764	2025-01-01	week	2025-01-01
prod_1419	shop_003	热销	1777	2025-01-01	week	2025-01-01
prod_1243	shop_001	网红款	2807	2025-01-01	week	2025-01-01
prod_1243	shop_001	新款	2562	2025-01-01	week	2025-01-01
prod_1243	shop_002	性价比	328	2025-01-01	week	2025-01-01
prod_1178	shop_002	优惠	1739	2025-01-01	week	2025-01-01
prod_1178	shop_001	性价比	394	2025-01-01	week	2025-01-01
