product_id	shop_id	visitor_count	pay_buyer_count	pay_conversion_rate	data_dt	time_type	dt
prod_1258	shop_001	1316	164	0.1246	2025-01-01	day	2025-01-01
prod_1281	shop_003	4776	518	0.1085	2025-01-01	day	2025-01-01
prod_1294	shop_003	2686	617	0.2297	2025-01-01	day	2025-01-01
prod_1330	shop_003	1452	94	0.0647	2025-01-01	day	2025-01-01
prod_1051	shop_002	8441	838	0.0993	2025-01-01	day	2025-01-01
prod_1303	shop_003	6160	1592	0.2584	2025-01-01	day	2025-01-01
prod_1421	shop_002	1362	153	0.1123	2025-01-01	day	2025-01-01
prod_1056	shop_002	5648	1444	0.2557	2025-01-01	day	2025-01-01
prod_1213	shop_001	4460	436	0.0978	2025-01-01	day	2025-01-01
prod_1297	shop_002	6946	1364	0.1964	2025-01-01	day	2025-01-01
prod_1050	shop_001	9931	1584	0.1595	2025-01-01	day	2025-01-01
prod_1441	shop_003	3704	987	0.2665	2025-01-01	day	2025-01-01
prod_1456	shop_002	7509	451	0.0601	2025-01-01	day	2025-01-01
prod_1243	shop_002	932	172	0.1845	2025-01-01	day	2025-01-01
prod_1097	shop_003	6325	784	0.124	2025-01-01	day	2025-01-01
prod_1112	shop_003	3384	652	0.1927	2025-01-01	day	2025-01-01
prod_1008	shop_002	9527	899	0.0944	2025-01-01	day	2025-01-01
prod_1094	shop_002	8979	10	0.0011	2025-01-01	day	2025-01-01
prod_1014	shop_003	5353	96	0.0179	2025-01-01	day	2025-01-01
prod_1414	shop_003	9087	262	0.0288	2025-01-01	day	2025-01-01
prod_1388	shop_001	4486	716	0.1596	2025-01-01	day	2025-01-01
prod_1300	shop_001	4227	385	0.0911	2025-01-01	day	2025-01-01
prod_1153	shop_001	8594	950	0.1105	2025-01-01	day	2025-01-01
prod_1374	shop_001	1521	273	0.1795	2025-01-01	day	2025-01-01
prod_1381	shop_002	3466	978	0.2822	2025-01-01	day	2025-01-01
prod_1269	shop_001	2713	560	0.2064	2025-01-01	day	2025-01-01
prod_1063	shop_001	8638	1802	0.2086	2025-01-01	day	2025-01-01
prod_1092	shop_003	1593	225	0.1412	2025-01-01	day	2025-01-01
prod_1244	shop_001	3215	263	0.0818	2025-01-01	day	2025-01-01
prod_1357	shop_001	2191	374	0.1707	2025-01-01	day	2025-01-01
prod_1066	shop_001	1186	260	0.2192	2025-01-01	day	2025-01-01
prod_1478	shop_003	5895	770	0.1306	2025-01-01	day	2025-01-01
prod_1395	shop_001	283	68	0.2403	2025-01-01	day	2025-01-01
prod_1171	shop_001	7730	1523	0.197	2025-01-01	day	2025-01-01
prod_1018	shop_003	593	106	0.1788	2025-01-01	day	2025-01-01
prod_1132	shop_003	8450	1347	0.1594	2025-01-01	day	2025-01-01
