sku_id	product_id	shop_id	pay_count	pay_amount	sales_ratio	stock_count	stock_days	data_dt	time_type	dt
sku_10947	prod_1094	shop_002	452	74982.28	0.1883	465	1.0	2025-01-01	day	2025-01-01
sku_11901	prod_1190	shop_001	218	108888.82	0.4707	286	1.3	2025-01-01	day	2025-01-01
sku_11215	prod_1121	shop_003	174	83439.96	0.1657	503	2.9	2025-01-01	day	2025-01-01
sku_10072	prod_1007	shop_003	107	43069.64	0.2416	810	7.5	2025-01-01	day	2025-01-01
sku_11326	prod_1132	shop_001	149	85563.25	0.2778	810	5.4	2025-01-01	day	2025-01-01
sku_11426	prod_1142	shop_003	393	334156.11	0.7715	61	0.2	2025-01-01	day	2025-01-01
sku_11054	prod_1105	shop_001	118	13659.68	0.2024	937	7.9	2025-01-01	day	2025-01-01
sku_10550	prod_1055	shop_001	361	208430.57	0.5067	220	0.6	2025-01-01	day	2025-01-01
sku_10480	prod_1048	shop_001	133	18443.11	0.0666	433	3.2	2025-01-01	day	2025-01-01
sku_11317	prod_1131	shop_002	256	97492.48	0.4246	825	3.2	2025-01-01	day	2025-01-01
sku_11619	prod_1161	shop_002	263	242567.53	0.101	319	1.2	2025-01-01	day	2025-01-01
sku_11331	prod_1133	shop_003	244	97104.68	0.6547	699	2.9	2025-01-01	day	2025-01-01
sku_10784	prod_1078	shop_003	108	85154.76	0.7773	604	5.5	2025-01-01	day	2025-01-01
sku_11108	prod_1110	shop_001	263	219410.38	0.6907	363	1.4	2025-01-01	day	2025-01-01
sku_11093	prod_1109	shop_001	493	52356.6	0.0706	73	0.1	2025-01-01	day	2025-01-01
sku_11165	prod_1116	shop_001	495	123764.85	0.4183	568	1.1	2025-01-01	day	2025-01-01
sku_11071	prod_1107	shop_001	426	209864.64	0.0532	399	0.9	2025-01-01	day	2025-01-01
sku_11696	prod_1169	shop_001	226	138386.58	0.0655	887	3.9	2025-01-01	day	2025-01-01
sku_10261	prod_1026	shop_001	267	77211.06	0.3604	887	3.3	2025-01-01	day	2025-01-01
sku_10020	prod_1002	shop_003	75	38517.75	0.592	894	11.8	2025-01-01	day	2025-01-01
sku_11759	prod_1175	shop_003	108	12211.56	0.5806	994	9.1	2025-01-01	day	2025-01-01
sku_11459	prod_1145	shop_001	134	67060.3	0.1559	781	5.8	2025-01-01	day	2025-01-01
sku_10955	prod_1095	shop_002	431	46780.74	0.6145	717	1.7	2025-01-01	day	2025-01-01
sku_10346	prod_1034	shop_002	191	6940.94	0.5688	891	4.6	2025-01-01	day	2025-01-01
sku_10099	prod_1009	shop_002	19	11258.07	0.2076	827	41.4	2025-01-01	day	2025-01-01
sku_11947	prod_1194	shop_003	199	106466.99	0.4723	344	1.7	2025-01-01	day	2025-01-01
sku_10264	prod_1026	shop_001	356	126917.56	0.5469	861	2.4	2025-01-01	day	2025-01-01
sku_10267	prod_1026	shop_003	442	79374.36	0.3899	707	1.6	2025-01-01	day	2025-01-01
sku_10560	prod_1056	shop_003	200	143960.0	0.6637	952	4.7	2025-01-01	day	2025-01-01
sku_11535	prod_1153	shop_001	417	62891.94	0.2282	269	0.6	2025-01-01	day	2025-01-01
sku_11951	prod_1195	shop_002	464	395908.0	0.1584	678	1.5	2025-01-01	day	2025-01-01
