user_id,product_id,product_name,category,visit_time,collect_time,pay_time,price,pay_amount
U9280,P247,男装_商品247,男装,2025-07-31T06:28:23.322+08:00,,,852.46,
U6021,P238,美妆_商品238,美妆,,,,1854.11,
U5468,P218,女装_商品218,女装,2025-07-31T14:45:57.322+08:00,2025-07-31T15:08:57.322+08:00,2025-07-31T15:22:57.322+08:00,51.0,51.23
U1653,P331,女装_商品331,女装,,,,1108.36,
U9403,P345,女装_商品345,女装,2025-08-01T03:00:39.322+08:00,,2025-08-01T03:46:39.322+08:00,1868.11,1778.58
U8193,P102,女装_商品102,女装,2025-07-31T13:07:37.322+08:00,,,519.85,
U5536,P147,男装_商品147,男装,,,,1519.27,
U1498,P349,数码_商品349,数码,2025-07-27T00:25:31.322+08:00,,,1328.23,
U9056,P217,数码_商品217,数码,2025-07-27T20:04:50.322+08:00,,,1082.29,
U2023,P239,女装_商品239,女装,2025-07-25T17:07:45.322+08:00,2025-07-25T17:15:45.322+08:00,,1162.45,
U8963,P205,数码_商品205,数码,2025-07-27T23:57:46.322+08:00,2025-07-28T00:11:46.322+08:00,,110.68,
U4985,P225,数码_商品225,数码,2025-07-31T20:41:11.322+08:00,2025-07-31T21:11:11.322+08:00,,947.34,
U4352,P240,男装_商品240,男装,,,,1835.73,
U1691,P273,美妆_商品273,美妆,,,,1726.73,
U5814,P259,女装_商品259,女装,2025-07-29T15:52:28.322+08:00,,,1367.32,
U6753,P305,男装_商品305,男装,2025-07-26T19:30:19.322+08:00,,2025-07-26T20:23:19.322+08:00,243.58,234.8
U1965,P132,男装_商品132,男装,2025-07-25T20:22:04.322+08:00,,2025-07-25T20:30:04.322+08:00,1164.41,1137.48
U1831,P328,男装_商品328,男装,2025-07-29T22:30:41.322+08:00,,2025-07-29T23:16:41.322+08:00,849.39,817.57
U9314,P260,男装_商品260,男装,2025-08-01T15:44:21.322+08:00,,,602.67,
U5558,P242,男装_商品242,男装,2025-08-01T06:08:20.322+08:00,,,1074.55,
U7125,P233,男装_商品233,男装,2025-07-30T07:09:49.322+08:00,,2025-07-30T07:33:49.322+08:00,1865.59,1791.95
U3420,P265,美妆_商品265,美妆,,,,851.22,
U5905,P127,美妆_商品127,美妆,2025-07-30T03:00:01.322+08:00,,,1459.06,
U5209,P295,女装_商品295,女装,2025-07-30T07:19:33.322+08:00,,,295.08,
U5143,P274,男装_商品274,男装,2025-07-29T04:55:01.322+08:00,,,1055.95,
U5184,P122,数码_商品122,数码,2025-07-30T14:55:52.322+08:00,,2025-07-30T15:22:52.322+08:00,1148.09,1134.7
U4171,P124,数码_商品124,数码,2025-07-31T16:19:42.322+08:00,2025-07-31T16:21:42.322+08:00,,1694.83,
U4405,P106,男装_商品106,男装,2025-07-30T16:49:44.322+08:00,,,424.23,
U4493,P115,美妆_商品115,美妆,2025-07-30T06:18:19.322+08:00,,,1907.07,
U5031,P231,美妆_商品231,美妆,2025-07-31T16:49:07.322+08:00,,,115.65,
U3254,P284,数码_商品284,数码,2025-08-01T02:15:29.322+08:00,,,1987.72,
